Order ID,TPT,Ship ahead day count,Ship Late Day count,Product ID,Unit quantity,Weight
1447296447,1,3,0,1700106,808,14.3
1447158015,1,3,0,1700106,3188,87.94
1447138899,1,3,0,1700106,2331,61.2
1447363528,1,3,0,1700106,847,16.16
1447363981,1,3,0,1700106,2163,52.34
1447351441,1,3,0,1700106,3332,92.8
1447320236,1,3,0,1700106,1782,46.9
1447158019,1,3,0,1700106,427,2.86
1447219341,1,3,0,1700106,1291,26.6
1447398416,1,3,0,1700106,2294,62.2
1447381679,1,3,0,1700106,2766,75.5
1447170785,1,3,0,1700106,798,14.3
1447155056,1,3,0,1697884,739,73.9
1447257265,1,3,0,1697884,280,7.8
1447240989,1,3,0,1697884,574,59.5
1447257231,1,3,0,1697884,556,52.7
1447260653,1,3,0,1697884,544,58.5
1447139375,1,3,0,1697884,1151,181.7
1447308590,1,3,0,1697884,1404,227.2
1447191271,1,3,0,1697884,662,74.1
1447191284,1,3,0,1699336,836,80.43
1447352426,1,3,0,1702652,2063,265.1
1447211829,1,3,0,1699337,2114,267.1
1447232833,1,3,0,1699337,2108,271.1
1447205081,1,3,0,1699336,1120,112.6
1447365980,1,3,0,1702654,706,61.8
1447157118,1,3,0,1699336,889,107.88
1447398413,1,3,0,1702652,1793,216.57
1447377319,1,3,0,1702652,491,27.81
1447257239,1,3,0,1699337,1044,112.6
1447368959,1,3,0,1702653,447,32.9
1447308591,1,3,0,1699336,328,13.36
1447398479,1,3,0,1702652,973,106.88
1447377316,1,3,0,1702652,1179,129.14
1447365993,1,3,0,1702653,814,74.25
1447223051,1,3,0,1699336,1464,171.22
1447260686,1,3,0,1699337,347,6.18
1447299202,1,3,0,1699336,771,77.25
1447330061,1,3,0,1702652,469,27.9
1447260670,1,3,0,1699336,382,15.45
1447157119,1,3,0,1699337,507,43.17
1447205082,1,3,0,1699336,419,16.45
1447398412,1,3,0,1702654,452,33.9
1447257238,1,3,0,1699336,486,24.72
1447241003,1,3,0,1699336,729,60.8
1447398481,1,3,0,1702652,366,19.54
1447398420,1,3,0,1702653,539,43.26
1447308592,1,3,0,1699337,304,9.27
1447241005,1,3,0,1699337,544,46.35
1447191288,1,3,0,1699337,679,65.8
1447232831,1,3,0,1699336,868,101.7
1447377317,1,3,0,1702654,672,66.8
1447211552,1,3,0,1699336,890,84.7
1447257266,1,3,0,1699336,801,78.34
1447365979,1,3,0,1702652,605,46.35
1447299203,1,3,0,1699337,897,89.7
1447257425,1,3,0,1697883,840,83.4
1447260633,1,3,0,1697883,631,50.68
1447296448,1,3,0,1700035,1287,15.4
1447363577,1,3,0,1700035,3308,48.2
1447320237,1,3,0,1700035,2233,31.26
1447202431,1,3,0,1700035,1276,16.4
1447211553,1,3,0,1700035,1325,14.4
1447219352,1,3,0,1700035,735,7.7
1447320235,1,3,0,1700035,1294,16.4
1447158020,1,3,0,1700035,696,6.16
1447260609,1,3,0,1700035,3333,42.2
1447158014,1,3,0,1700035,2928,38.04
1447191275,1,3,0,1700035,1279,14.4
1447170786,1,3,0,1700035,1320,16.4
1447138897,1,3,0,1700035,2285,32.8
1447240999,1,3,0,1700035,1819,23.1
1447320234,1,3,0,1700035,339,1.54
1447351442,1,3,0,1700035,4302,66.6
1447381680,1,3,0,1700035,3322,42.2
1447178728,1,3,0,1700035,781,7.7
1447398417,1,3,0,1700035,3266,43.2
1447191280,1,3,0,1697317,2716,457.16
1447308639,1,3,0,1696799,1498,245.08
1447155061,1,3,0,1696799,617,54.52
1447155063,1,3,0,1696799,898,113.04
1447260619,1,3,0,1696799,555,56.52
1447398415,1,3,0,1697317,4377,820.44
1447191291,1,3,0,1697317,540,60.52
1447202234,1,3,0,1697317,887,121.04
1447260620,1,3,0,1696799,1803,302.6
1447143192,1,3,0,1697317,936,144.88
1447241008,1,3,0,1697317,2040,368.12
1447155059,1,3,0,1696799,3003,498.68
1447232834,1,3,0,1697317,2095,384.12
1447178730,1,3,0,1696799,2034,337.12
1447308638,1,3,0,1696799,973,136.88
1447143211,1,3,0,1697317,529,37.68
1447254054,1,3,0,1696799,2992,525.68
1447170787,1,3,0,1696799,2066,369.12
1447219267,1,3,0,1696799,3914,644.24
1447296452,1,3,0,1697317,1222,164.56
1447232836,1,3,0,1696799,3876,717.24
1447138895,1,3,0,1697317,2079,345.12
1447178731,1,3,0,1697317,1136,184.56
1447138905,1,3,0,1696799,3931,777.24
1447211523,1,3,0,1696799,2393,434.64
1447364332,1,3,0,1697317,1655,257.76
1447260626,1,3,0,1697317,2078,345.12
1447398418,1,3,0,1697317,946,148.88
1447308588,1,3,0,1697317,2120,335.12
1447202440,1,3,0,1697317,1230,195.56
1447351443,1,3,0,1697317,2115,344.12
1447158021,1,3,0,1696799,2045,346.12
1447316598,1,3,0,1697317,935,134.88
1447155064,1,3,0,1697317,2943,540.68
1447329979,1,3,0,1697317,2936,567.68
1447191278,1,3,0,1696799,2985,484.68
1447373139,1,3,0,1697317,2938,521.68
1447363982,1,3,0,1697317,716,83.36
1447211524,1,3,0,1696799,4464,813.28
1447202439,1,3,0,1696799,2109,331.12
1447241230,1,3,0,1696799,2978,504.68
1447143197,1,3,0,1696799,2100,333.12
1447158022,1,3,0,1697317,2066,341.12
1447170790,1,3,0,1697317,2972,508.68
1447254059,1,3,0,1697317,2069,348.12
1447316597,1,3,0,1697317,2233,404.8
1447381636,1,3,0,1697317,2088,353.12
1447178729,1,3,0,1696798,2665,417.92
1447202433,1,3,0,1696798,1961,308.36
1447138903,1,3,0,1696798,2974,524.16
1447296449,1,3,0,1696798,2322,397.6
1447296451,1,3,0,1696798,950,132.56
1447358736,1,3,0,1696798,1942,292.36
1447202425,1,3,0,1696798,352,19.08
1447143196,1,3,0,1696798,1208,176.72
1447202193,1,3,0,1696798,2117,293.44
1447211522,1,3,0,1696798,2087,341.44
1447158025,1,3,0,1696798,3927,608.88
1447352432,1,3,0,1696798,4090,641.04
1447155058,1,3,0,1696798,3851,704.88
1447170794,1,3,0,1696798,3927,619.88
1447191283,1,3,0,1696798,3845,676.88
1447306623,4,0,0,1699333,1529,3.008251427
1447306542,4,0,0,1699268,1495,2.653359699
1447392841,4,0,0,1699268,899,1.326679849
1447306544,4,0,0,1699268,1437,2.653359699
1447189596,4,0,0,1699584,1914,5.94
1447189595,4,0,0,1699584,1956,5.94
1447189594,4,0,0,1699584,1964,5.94
1447405924,0,0,0,1699584,1961,5.94
1447306545,4,0,0,1699584,3624,11.82
1447182455,4,0,0,1699562,4802,8.892328134
1447320770,0,0,0,1699562,4871,8.892328134
1447317000,4,0,0,1699562,1768,2.964109378
1447320724,0,0,0,1699564,10054,8.931931144
1447306568,4,0,0,1699564,14988,13.39789672
1447306638,4,0,0,1699564,10079,8.931931144
1447399897,4,0,0,1699561,12802,10.8954652
1447306541,4,0,0,1699561,5308,4.35818608
1447306622,4,0,0,1699561,10309,8.716372159
1447320842,0,0,0,1699561,10235,8.716372159
1447399895,4,0,0,1699561,10295,8.716372159
1447320824,0,0,0,1699793,1910,5.92
1447418501,0,0,0,1700980,2840,5.76
1447379298,0,0,0,1699792,12737,9.302254114
1447269469,4,0,0,1699792,42789,28.62766399
1447379326,0,0,0,1699792,7821,5.581352469
1447269471,4,0,0,1699792,20304,13.88360658
1447182454,4,0,0,1699792,15243,11.16270494
1447379202,4,0,0,1699792,10279,7.441803291
1447344846,0,0,0,1699314,1156,6.446666667
1447412853,0,0,0,1699314,1233,6.44
1447313127,0,0,0,1699314,1196,6.4
1447320656,0,0,0,1699315,19176,51.97976608
1447269470,4,0,0,1699315,5648,16.7085046
1447182459,4,0,0,1699312,3905,9.471312
1447182461,4,0,0,1699795,6662,13.33134639
1447410409,0,0,0,1699795,13116,30.66269278
1447306546,4,0,0,1699795,1847,3.582836597
1447403804,4,0,0,1699795,6694,13.33134639
1447392327,0,0,0,1699795,3505,7.165673194
1447392329,0,0,0,1699795,6652,14.33134639
1447392328,0,0,0,1699795,5125,10.74850979
1447320843,0,0,0,1699797,5966,8.199930523
